Tau FTBO,Tau FTBF,ki,kp,kd,dt,Nb de points de lecture Temp.
230,300,0.00333333,46,0,5000,10
Consigne CPU Temp,Température CPU,Heure,CPU Usage (%),CPU Frequency (MHz),Erreur,Correction dérivée,Correction intégrale,PWM signal,PWM signal clipped
60,54.8222,9:40:59,1.00503,700,-5.1778,-190.543,-86.2967,-156,0
60,60.5966,9:41:4,1.00503,1800,0.596626,21.9558,-76.353,65,0
60,61.5637,9:41:9,1.00503,700,1.56367,57.543,-50.2918,127,127
60,61.3195,9:41:14,2.0202,1800,1.31947,48.5565,-28.3007,140,140
60,61.7333,9:41:19,2.0202,700,1.73335,63.7872,0.58848,184,184
60,61.0442,9:41:24,2.0202,700,1.04424,38.428,17.9925,176,176
60,60.6344,9:41:30,2.01005,1800,0.63443,23.347,28.5663,171,171
60,60.6908,9:41:35,2.01005,700,0.690845,25.4231,40.0804,185,185
60,60.0147,9:41:40,2.01005,700,0.0146904,0.540607,40.3252,160,160
60,60.0445,9:41:45,2.57732,1800,0.0444756,1.6367,41.0665,162,162
60,59.9988,9:41:50,2.57732,1800,-0.00124359,-0.0457642,41.0458,161,161
60,59.8481,9:41:55,2.57732,700,-0.151917,-5.59053,38.5138,152,152
60,59.6382,9:42:1,2.51256,1800,-0.361786,-13.3137,32.4841,139,139
60,59.2763,9:42:6,2.51256,700,-0.723682,-26.6315,20.4227,113,0
60,58.8992,9:42:11,2.51256,700,-1.10078,-40.5086,2.0764,81,0
60,59.7868,9:42:16,2.5,1800,-0.213173,-7.84476,-1.47648,110,0
60,60.3139,9:42:21,2.5,1800,0.313885,11.551,3.75494,135,135
60,60.2205,9:42:26,2.5,700,0.220497,8.1143,7.42989,135,135
60,60.406,9:42:32,1.51515,1800,0.405956,14.9392,14.1958,149,149
60,60.2297,9:42:37,1.51515,700,0.229698,8.45289,18.0241,146,146
60,59.7738,9:42:42,1.51515,1800,-0.226227,-8.32515,14.2537,125,125
60,59.7282,9:42:47,1.51515,700,-0.271828,-10.0033,9.72322,119,0
60,59.9671,9:42:52,1.51515,1800,-0.0328789,-1.20994,9.17524,127,127
60,59.8449,9:42:57,1.51515,700,-0.155083,-5.70704,6.59053,120,0
60,61.1963,9:43:3,3.15789,1800,1.1963,44.0237,26.5288,190,190
60,63.7664,9:43:8,3.15789,1800,3.76644,138.605,89.3028,347,255
60,63.7313,9:43:13,3.15789,1800,3.73125,137.31,151.49,408,255
75,65.0426,9:43:19,63.1579,1800,-9.95737,-549.647,-14.466,-444,0
75,67.1705,9:43:24,63.1579,1800,-7.82954,-432.19,-144.958,-457,0
75,69.3313,9:43:29,63.1579,1800,-5.66875,-312.915,-239.437,-432,0
85,70.6187,9:43:34,96,1800,-14.3813,-1323.08,-479.125,-1682,0
85,69.9683,9:43:39,96,1800,-15.0317,-1382.92,-729.654,-1992,0
85,69.8058,9:43:44,96,1800,-15.1942,-1397.86,-982.89,-2260,0
70,69.3026,9:43:50,42.8571,1800,-0.697411,-32.0809,-994.514,-906,0
70,68.0348,9:43:55,42.8571,1800,-1.96523,-90.4007,-1027.27,-997,0
70,68.6385,9:44:0,42.8571,700,-1.36153,-62.6302,-1049.96,-992,0
60,66.41,9:44:5,4.0201,1800,6.40995,235.886,-943.127,-587,0
60,66.5767,9:44:10,4.0201,700,6.5767,242.023,-833.515,-471,0
60,65.9603,9:44:15,4.0201,1800,5.96027,219.338,-734.177,-394,0
60,66.4343,9:44:21,1.0101,700,6.43433,236.784,-626.939,-270,0
60,66.0434,9:44:26,1.0101,1800,6.04344,222.399,-526.215,-183,0
