Time (s),Paris time (H:M:S),CPU Temperature (°C),CPU Usage (%)
0,17:12:20,80.341,61.8
2,17:12:22,80.828,40.9
3,17:12:23,78.393,1.0
9,17:12:29,78.393,28.2
11,17:12:31,77.419,1.5
12,17:12:32,78.393,91.5
14,17:12:34,80.341,59.6
15,17:12:35,81.315,75.3
17,17:12:37,81.802,96.5
19,17:12:39,82.776,92.3
20,17:12:40,83.263,99.0
24,17:12:44,82.776,80.5
25,17:12:45,82.776,43.1
27,17:12:47,83.263,37.6
28,17:12:48,82.776,33.2
30,17:12:50,83.263,5.5
31,17:12:51,80.341,2.5
33,17:12:53,79.854,1.5
34,17:12:54,78.88,3.5
36,17:12:56,78.393,10.1
37,17:12:57,79.367,43.7
39,17:12:59,81.315,1.0
40,17:13:00,79.367,1.5
42,17:13:02,79.367,3.5
43,17:13:03,78.88,2.5
52,17:13:12,78.393,3.0
53,17:13:13,76.932,17.7
55,17:13:15,78.393,2.0
56,17:13:16,78.88,1.5
59,17:13:19,77.906,3.5
61,17:13:21,78.88,2.5
62,17:13:22,77.419,4.0
64,17:13:24,77.906,2.0
65,17:13:25,78.393,1.5
67,17:13:27,78.393,1.5
68,17:13:28,77.906,2.0
70,17:13:30,77.906,3.0
71,17:13:31,77.906,3.5
73,17:13:33,77.906,6.5
74,17:13:34,77.419,2.5
76,17:13:36,77.419,1.5
77,17:13:37,77.906,3.5
79,17:13:39,77.906,4.0
80,17:13:40,77.419,2.5
82,17:13:42,77.419,2.0
83,17:13:43,78.88,1.0
85,17:13:45,76.932,2.5
86,17:13:46,77.906,1.0
88,17:13:48,77.906,3.5
89,17:13:49,77.419,2.0
91,17:13:51,77.419,1.5
92,17:13:52,77.419,10.5
94,17:13:54,75.958,5.5
95,17:13:55,76.932,3.0
97,17:13:57,76.445,7.7
98,17:13:58,76.932,2.5
100,17:14:00,76.932,1.0
101,17:14:01,76.932,2.0
103,17:14:03,78.393,2.0
104,17:14:04,77.419,4.0
106,17:14:06,77.419,2.0
107,17:14:07,77.419,5.0
109,17:14:09,77.906,2.0
110,17:14:10,78.393,2.0
112,17:14:12,77.906,2.5
113,17:14:13,77.906,2.0
115,17:14:15,78.88,3.0
116,17:14:16,77.419,1.0
118,17:14:18,77.906,1.5
119,17:14:19,77.419,2.0
121,17:14:21,77.419,2.5
122,17:14:22,75.958,8.5
124,17:14:24,77.419,23.7
125,17:14:25,77.419,1.5
127,17:14:27,77.906,1.5
128,17:14:28,77.419,5.0
130,17:14:30,77.419,3.0
131,17:14:31,76.932,2.5
133,17:14:33,76.932,2.5
134,17:14:34,75.958,2.5
136,17:14:36,77.419,1.5
137,17:14:37,77.419,4.5
139,17:14:39,77.906,2.0
140,17:14:40,77.419,3.5
142,17:14:42,77.419,3.0
143,17:14:43,76.445,3.0
145,17:14:45,77.419,2.5
146,17:14:46,77.419,4.5
148,17:14:48,76.445,1.0
149,17:14:49,76.932,2.0
151,17:14:51,77.906,2.0
152,17:14:52,77.906,5.5
154,17:14:54,76.932,2.5
156,17:14:56,76.932,2.0
157,17:14:57,76.445,8.6
159,17:14:59,77.419,1.5
160,17:15:00,78.393,2.0
162,17:15:02,77.906,0.5
163,17:15:03,78.393,3.0
165,17:15:05,77.419,1.0
166,17:15:06,77.906,1.0
168,17:15:08,77.906,5.5
169,17:15:09,77.419,2.0
171,17:15:11,77.906,2.5
172,17:15:12,77.419,2.5
174,17:15:14,77.906,2.5
175,17:15:15,76.445,1.0
177,17:15:17,77.419,2.5
178,17:15:18,76.445,3.5
180,17:15:20,77.419,3.5
181,17:15:21,76.445,2.5
183,17:15:23,76.445,7.1
184,17:15:24,76.932,2.0
186,17:15:26,76.445,2.0
187,17:15:27,76.932,3.5
189,17:15:29,76.932,3.0
190,17:15:30,76.932,2.0
192,17:15:32,76.932,1.0
193,17:15:33,76.932,3.5
195,17:15:35,76.445,1.5
196,17:15:36,76.932,2.0
198,17:15:38,75.958,7.0
199,17:15:39,77.906,2.0
201,17:15:41,77.906,1.0
202,17:15:42,77.419,4.0
204,17:15:44,77.906,4.5
205,17:15:45,75.958,3.0
207,17:15:47,76.445,2.0
208,17:15:48,77.419,1.5
210,17:15:50,78.393,1.5
211,17:15:51,77.419,1.5
213,17:15:53,78.393,3.0
214,17:15:54,77.419,2.5
216,17:15:56,76.932,3.0
217,17:15:57,76.445,7.0
219,17:15:59,76.445,6.1
220,17:16:00,76.445,2.5
222,17:16:02,76.445,3.0
223,17:16:03,76.445,2.0
225,17:16:05,77.419,1.5
226,17:16:06,77.419,1.5
228,17:16:08,77.419,2.5
229,17:16:09,76.445,2.5
231,17:16:11,77.419,2.0
232,17:16:12,76.932,6.6
234,17:16:14,77.419,1.5
235,17:16:15,77.906,2.0
237,17:16:17,77.906,1.0
238,17:16:18,75.958,5.0
240,17:16:20,76.932,1.5
241,17:16:21,77.906,2.5
243,17:16:23,77.419,1.0
244,17:16:24,76.445,3.0
246,17:16:26,75.958,3.0
247,17:16:27,76.932,9.1
249,17:16:29,77.419,2.5
250,17:16:30,77.419,1.0
252,17:16:32,77.906,1.0
253,17:16:33,76.445,4.5
255,17:16:35,77.419,2.0
256,17:16:36,76.932,3.0
258,17:16:38,77.419,1.0
259,17:16:39,77.906,1.5
261,17:16:41,77.419,1.5
262,17:16:42,78.393,8.1
264,17:16:44,76.932,3.5
265,17:16:45,75.958,3.0
267,17:16:47,77.419,2.0
268,17:16:48,77.419,2.5
270,17:16:50,77.419,1.0
271,17:16:51,77.906,1.0
273,17:16:53,78.393,2.0
274,17:16:54,77.419,2.5
276,17:16:56,76.932,3.0
277,17:16:57,76.932,9.1
279,17:16:59,77.419,0.5
280,17:17:00,77.906,2.0
282,17:17:02,77.906,1.0
283,17:17:03,76.932,9.1
285,17:17:05,76.932,1.5
286,17:17:06,76.932,2.0
288,17:17:08,77.419,1.5
289,17:17:09,76.932,3.0
291,17:17:11,76.932,2.0
292,17:17:12,76.932,10.0
294,17:17:14,76.932,2.0
295,17:17:15,76.932,3.0
297,17:17:17,77.419,2.0
298,17:17:18,76.445,2.5
300,17:17:20,77.906,1.0
301,17:17:21,77.419,1.5
303,17:17:23,76.932,2.5
304,17:17:24,77.419,8.1
306,17:17:26,75.958,2.5
307,17:17:27,75.958,9.1
309,17:17:29,75.958,2.0
310,17:17:30,77.906,1.5
312,17:17:32,77.419,1.0
313,17:17:33,77.419,5.0
315,17:17:35,77.906,3.0
316,17:17:36,75.958,2.5
318,17:17:38,76.932,1.0
319,17:17:39,76.932,2.0
321,17:17:41,77.906,1.5
322,17:17:42,77.906,5.5
324,17:17:44,75.958,2.0
325,17:17:45,76.932,4.0
327,17:17:47,75.958,2.0
328,17:17:48,76.445,2.6
330,17:17:50,76.932,24.6
331,17:17:51,77.419,0.5
333,17:17:53,77.419,1.0
334,17:17:54,77.906,1.0
336,17:17:56,77.419,3.5
337,17:17:57,77.906,8.6
339,17:17:59,76.445,8.1
340,17:18:00,77.906,1.0
342,17:18:02,77.906,2.0
343,17:18:03,77.906,2.5
345,17:18:05,77.419,5.5
346,17:18:06,77.906,1.5
348,17:18:08,76.932,2.0
349,17:18:09,77.419,1.0
351,17:18:11,77.419,1.5
352,17:18:12,76.445,5.5
354,17:18:14,76.445,2.0
355,17:18:15,76.445,1.0
357,17:18:17,75.958,2.5
359,17:18:19,76.445,2.0
360,17:18:20,75.958,2.0
362,17:18:22,77.906,1.5
363,17:18:23,77.906,2.0
365,17:18:25,76.932,2.5
366,17:18:26,76.445,2.0
368,17:18:28,76.932,9.0
369,17:18:29,77.419,2.5
371,17:18:31,76.932,1.0
372,17:18:32,77.906,1.0
374,17:18:34,77.419,3.5
375,17:18:35,76.932,1.5
377,17:18:37,76.445,2.0
378,17:18:38,76.445,2.0
380,17:18:40,77.419,3.0
381,17:18:41,76.932,3.0
383,17:18:43,76.932,7.1
384,17:18:44,76.445,1.5
386,17:18:46,77.419,3.0
387,17:18:47,77.419,0.5
389,17:18:49,75.958,4.0
390,17:18:50,76.445,1.5
392,17:18:52,76.932,2.5
393,17:18:53,77.419,1.5
395,17:18:55,77.419,1.0
396,17:18:56,77.419,1.0
398,17:18:58,77.419,4.5
399,17:18:59,76.932,5.0
401,17:19:01,76.932,3.5
402,17:19:02,77.419,1.5
404,17:19:04,77.419,2.0
405,17:19:05,77.419,2.0
407,17:19:07,75.958,2.0
408,17:19:08,77.419,2.5
410,17:19:10,76.445,3.0
411,17:19:11,76.445,2.0
413,17:19:13,76.932,9.0
414,17:19:14,76.932,2.5
416,17:19:16,76.932,2.5
417,17:19:17,76.445,3.5
419,17:19:19,76.932,3.0
420,17:19:20,76.932,1.5
422,17:19:22,77.419,1.5
423,17:19:23,77.906,2.5
425,17:19:25,76.445,2.5
426,17:19:26,76.932,1.5
428,17:19:28,75.471,8.5
429,17:19:29,76.932,1.5
431,17:19:31,77.419,1.0
432,17:19:32,76.932,1.5
434,17:19:34,76.445,4.5
435,17:19:35,77.419,2.5
437,17:19:37,76.445,2.0
438,17:19:38,77.419,1.5
440,17:19:40,77.906,1.0
441,17:19:41,77.419,1.5
443,17:19:43,77.419,6.0
444,17:19:44,77.906,3.0
446,17:19:46,76.932,2.5
447,17:19:47,76.932,3.0
449,17:19:49,76.932,4.5
450,17:19:50,76.932,1.5
452,17:19:52,75.958,2.0
453,17:19:53,76.932,0.5
455,17:19:55,78.88,1.5
456,17:19:56,78.393,1.5
458,17:19:58,77.419,5.1
459,17:19:59,76.445,3.5
461,17:20:01,76.932,2.0
462,17:20:02,77.419,1.5
464,17:20:04,78.393,1.5
465,17:20:05,77.906,2.5
467,17:20:07,77.906,3.5
468,17:20:08,76.932,0.5
470,17:20:10,76.932,1.5
471,17:20:11,77.419,1.0
473,17:20:13,78.88,6.5
474,17:20:14,75.958,3.0
476,17:20:16,76.445,3.5
477,17:20:17,77.419,3.0
479,17:20:19,77.419,2.0
480,17:20:20,78.88,1.5
482,17:20:22,77.419,1.5
483,17:20:23,76.445,2.5
485,17:20:25,77.906,3.5
486,17:20:26,77.419,2.5
488,17:20:28,76.932,10.1
489,17:20:29,76.932,2.5
491,17:20:31,76.445,3.0
492,17:20:32,76.445,4.0
494,17:20:34,75.958,3.0
495,17:20:35,76.932,2.5
497,17:20:37,76.445,2.5
498,17:20:38,77.419,1.5
500,17:20:40,77.419,0.5
501,17:20:41,76.932,1.0
503,17:20:43,78.393,5.1
504,17:20:44,76.445,3.0
506,17:20:46,76.932,2.5
507,17:20:47,76.932,2.0
509,17:20:49,77.419,3.0
510,17:20:50,77.906,1.5
512,17:20:52,77.419,1.0
513,17:20:53,77.419,2.0
515,17:20:55,76.932,2.5
516,17:20:56,76.445,3.0
518,17:20:58,76.445,8.1
519,17:20:59,76.932,3.5
521,17:21:01,77.419,2.5
522,17:21:02,76.445,3.5
524,17:21:04,76.932,3.5
525,17:21:05,76.445,8.6
527,17:21:07,77.419,0.5
528,17:21:08,77.906,1.5
530,17:21:10,77.906,1.0
531,17:21:11,76.932,3.0
533,17:21:13,77.419,7.0
534,17:21:14,77.906,1.5
536,17:21:16,77.419,1.0
537,17:21:17,78.393,3.0
539,17:21:19,77.419,5.0
540,17:21:20,77.419,3.0
542,17:21:22,76.932,3.0
543,17:21:23,77.906,2.0
545,17:21:25,78.393,1.0
546,17:21:26,78.393,0.5
548,17:21:28,77.906,3.0
549,17:21:29,77.419,2.0
551,17:21:31,76.445,2.5
552,17:21:32,76.445,6.5
554,17:21:34,76.932,3.5
555,17:21:35,77.419,2.5
557,17:21:37,76.932,2.0
558,17:21:38,76.932,3.5
560,17:21:40,76.445,2.5
561,17:21:41,76.932,4.0
563,17:21:43,75.958,3.5
564,17:21:44,76.932,1.0
566,17:21:46,78.393,1.0
567,17:21:47,77.906,5.5
569,17:21:49,75.958,3.5
570,17:21:50,76.932,2.0
572,17:21:52,76.932,2.0
573,17:21:53,76.932,1.5
575,17:21:55,77.906,1.5
576,17:21:56,76.932,1.5
578,17:21:58,77.906,2.0
579,17:21:59,77.419,2.0
581,17:22:01,76.932,10.0
582,17:22:02,77.906,4.1
584,17:22:04,76.932,1.5
585,17:22:05,78.393,1.0
587,17:22:07,76.932,4.5
588,17:22:08,76.932,2.0
590,17:22:10,76.932,2.0
591,17:22:11,76.445,3.0
593,17:22:13,77.419,1.5
594,17:22:14,77.906,2.5
596,17:22:16,77.419,2.5
597,17:22:17,76.445,9.5
599,17:22:19,77.419,1.5
600,17:22:20,77.906,2.0
602,17:22:22,77.906,0.5
603,17:22:23,77.419,4.5
605,17:22:25,76.445,2.5
606,17:22:26,75.958,1.5
608,17:22:28,75.958,1.5
609,17:22:29,76.445,0.5
611,17:22:31,77.906,1.5
612,17:22:32,77.906,5.0
614,17:22:34,77.419,2.5
615,17:22:35,77.906,2.5
617,17:22:37,76.445,2.0
618,17:22:38,77.419,2.5
620,17:22:40,77.906,1.5
621,17:22:41,77.419,1.0
623,17:22:43,78.393,2.5
624,17:22:44,78.393,2.5
626,17:22:46,78.88,1.5
627,17:22:47,77.419,4.5
629,17:22:49,78.88,3.5
630,17:22:50,77.419,23.4
632,17:22:52,77.419,1.0
633,17:22:53,79.367,3.0
635,17:22:55,78.393,2.0
636,17:22:56,78.393,13.1
638,17:22:58,78.393,1.5
639,17:22:59,79.367,2.5
641,17:23:01,78.88,2.5
642,17:23:02,78.393,11.6
644,17:23:04,77.419,2.5
645,17:23:05,77.906,4.0
647,17:23:07,77.419,0.5
648,17:23:08,77.906,1.5
650,17:23:10,79.367,1.0
651,17:23:11,78.393,2.5
653,17:23:13,77.906,1.5
654,17:23:14,77.906,1.0
656,17:23:16,78.393,1.0
657,17:23:17,77.419,5.5
659,17:23:19,77.419,2.0
660,17:23:20,77.419,2.0
662,17:23:22,76.932,3.0
663,17:23:23,78.393,2.0
665,17:23:25,79.854,1.0
666,17:23:26,78.393,1.0
668,17:23:28,78.88,2.0
669,17:23:29,77.906,4.5
671,17:23:31,76.932,2.0
672,17:23:32,76.932,9.5
674,17:23:34,77.906,2.0
675,17:23:35,77.906,1.0
677,17:23:37,78.393,1.0
678,17:23:38,76.445,4.0
680,17:23:40,77.419,2.5
681,17:23:41,77.419,3.0
683,17:23:43,76.932,3.0
684,17:23:44,76.932,2.0
686,17:23:46,76.932,3.0
687,17:23:47,77.419,8.5
689,17:23:49,76.932,2.0
690,17:23:50,78.393,1.0
692,17:23:52,78.393,2.0
693,17:23:53,77.906,5.0
695,17:23:55,76.932,2.5
697,17:23:57,77.419,2.0
698,17:23:58,77.906,2.0
700,17:24:00,78.393,2.0
701,17:24:01,77.906,1.0
703,17:24:03,77.906,4.5
704,17:24:04,77.419,3.5
706,17:24:06,77.906,3.0
707,17:24:07,77.419,8.7
709,17:24:09,78.393,1.5
710,17:24:10,78.88,1.5
712,17:24:12,77.419,1.5
713,17:24:13,78.88,3.5
715,17:24:15,77.419,2.5
716,17:24:16,77.419,2.5
718,17:24:18,77.419,9.5
719,17:24:19,76.445,3.0
721,17:24:21,76.932,2.0
722,17:24:22,76.932,2.5
724,17:24:24,77.419,2.0
725,17:24:25,78.393,2.0
727,17:24:27,77.906,1.5
728,17:24:28,76.932,2.5
730,17:24:30,76.932,2.5
731,17:24:31,76.932,2.5
733,17:24:33,77.906,9.5
734,17:24:34,77.906,1.5
736,17:24:36,77.906,1.0
737,17:24:37,78.88,1.5
739,17:24:39,77.906,3.0
740,17:24:40,77.906,1.5
742,17:24:42,78.393,2.0
743,17:24:43,77.419,1.5
745,17:24:45,79.367,1.5
746,17:24:46,77.906,2.0
748,17:24:48,77.906,8.1
749,17:24:49,78.393,2.0
751,17:24:51,78.393,2.0
752,17:24:52,78.393,0.0
754,17:24:54,77.419,3.0
755,17:24:55,77.419,1.5
757,17:24:57,77.419,3.5
758,17:24:58,76.932,3.0
760,17:25:00,78.393,2.5
761,17:25:01,77.906,2.5
763,17:25:03,77.906,5.5
764,17:25:04,77.419,0.5
766,17:25:06,78.393,1.0
767,17:25:07,78.393,5.5
769,17:25:09,77.906,1.5
770,17:25:10,79.367,1.5
772,17:25:12,79.367,1.0
773,17:25:13,77.906,1.0
775,17:25:15,77.906,3.0
776,17:25:16,77.906,1.5
778,17:25:18,77.906,7.0
779,17:25:19,77.906,1.5
781,17:25:21,78.88,0.5
782,17:25:22,77.906,2.5
784,17:25:24,77.419,4.5
785,17:25:25,77.906,3.0
787,17:25:27,77.419,1.0
788,17:25:28,77.906,1.0
790,17:25:30,77.419,1.0
791,17:25:31,79.367,2.0
793,17:25:33,78.393,3.5
794,17:25:34,76.932,2.5
796,17:25:36,77.419,2.5
797,17:25:37,76.932,5.0
799,17:25:39,77.419,5.0
800,17:25:40,77.419,3.0
802,17:25:42,76.932,2.0
803,17:25:43,77.419,1.0
805,17:25:45,77.419,2.0
806,17:25:46,77.906,1.0
808,17:25:48,78.393,1.5
809,17:25:49,77.906,2.5
811,17:25:51,77.419,2.5
812,17:25:52,77.906,7.0
814,17:25:54,78.88,1.5
815,17:25:55,78.393,1.5
817,17:25:57,78.393,1.0
818,17:25:58,78.393,2.5
820,17:26:00,77.906,2.0
821,17:26:01,76.932,2.5
823,17:26:03,76.932,10.2
824,17:26:04,77.419,3.0
826,17:26:06,76.445,2.5
827,17:26:07,76.932,7.5
829,17:26:09,77.419,5.6
830,17:26:10,76.445,4.0
832,17:26:12,76.932,2.5
833,17:26:13,76.445,3.0
835,17:26:15,76.932,2.0
836,17:26:16,76.932,1.5
838,17:26:18,77.419,8.5
839,17:26:19,78.88,1.5
841,17:26:21,78.393,1.0
842,17:26:22,77.906,4.5
844,17:26:24,77.906,3.0
845,17:26:25,77.906,1.5
847,17:26:27,76.932,2.5
848,17:26:28,77.906,3.0
850,17:26:30,77.419,2.0
851,17:26:31,77.419,2.5
853,17:26:33,78.88,2.5
854,17:26:34,77.419,2.5
856,17:26:36,76.932,2.0
857,17:26:37,77.419,8.1
859,17:26:39,77.906,2.5
860,17:26:40,76.932,2.0
862,17:26:42,77.419,2.5
863,17:26:43,76.445,3.5
865,17:26:45,77.419,3.0
866,17:26:46,77.419,3.0
868,17:26:48,77.906,1.5
869,17:26:49,76.932,2.0
871,17:26:51,77.906,1.5
872,17:26:52,77.419,5.5
874,17:26:54,77.419,2.5
875,17:26:55,77.906,2.0
877,17:26:57,76.932,2.5
878,17:26:58,77.906,1.5
880,17:27:00,76.932,0.5
881,17:27:01,78.88,1.5
883,17:27:03,78.393,3.0
884,17:27:04,77.906,3.0
886,17:27:06,78.393,2.0
887,17:27:07,78.393,5.0
889,17:27:09,78.393,2.5
890,17:27:10,76.932,2.5
892,17:27:12,77.419,1.5
893,17:27:13,78.393,3.0
895,17:27:15,76.932,2.5
896,17:27:16,77.419,2.5
898,17:27:18,77.419,2.5
899,17:27:19,76.932,3.5
901,17:27:21,76.932,2.0
902,17:27:22,76.445,9.1
904,17:27:24,77.419,2.0
905,17:27:25,77.419,1.5
907,17:27:27,77.906,1.5
908,17:27:28,77.906,4.5
910,17:27:30,78.393,1.5
911,17:27:31,78.88,1.0
913,17:27:33,77.419,1.5
914,17:27:34,77.906,2.0
916,17:27:36,78.393,2.5
917,17:27:37,77.906,9.0
919,17:27:39,77.906,1.0
920,17:27:40,78.393,2.0
922,17:27:42,78.393,1.0
923,17:27:43,77.419,4.0
925,17:27:45,76.932,3.0
926,17:27:46,76.445,1.5
928,17:27:48,78.88,2.5
930,17:27:50,77.419,2.0
931,17:27:51,77.906,14.4
933,17:27:53,77.419,5.5
934,17:27:54,77.906,1.5
936,17:27:56,77.906,1.0
937,17:27:57,78.88,1.5
939,17:27:59,77.419,4.0
941,17:28:01,76.932,3.0
942,17:28:02,76.445,8.6
944,17:28:04,77.906,5.5
945,17:28:05,77.906,0.5
947,17:28:07,78.393,1.0
948,17:28:08,76.932,4.0
950,17:28:10,77.906,2.5
951,17:28:11,79.367,1.0
953,17:28:13,78.393,2.5
954,17:28:14,78.393,3.5
956,17:28:16,77.419,2.0
957,17:28:17,77.419,9.6
959,17:28:19,78.393,1.0
960,17:28:20,78.393,1.0
962,17:28:22,77.419,1.5
963,17:28:23,77.419,4.0
965,17:28:25,77.906,2.0
966,17:28:26,77.906,2.0
968,17:28:28,77.906,2.5
969,17:28:29,76.932,3.0
971,17:28:31,76.932,1.5
972,17:28:32,76.932,8.0
974,17:28:34,77.906,2.0
975,17:28:35,78.393,1.5
977,17:28:37,78.393,1.0
978,17:28:38,77.906,4.0
980,17:28:40,77.419,2.5
981,17:28:41,77.419,3.0
983,17:28:43,77.906,0.5
984,17:28:44,78.393,1.0
986,17:28:46,78.88,1.5
987,17:28:47,77.906,5.5
989,17:28:49,76.932,3.0
990,17:28:50,77.419,2.5
992,17:28:52,77.419,2.5
993,17:28:53,78.393,2.0
995,17:28:55,78.393,1.0
996,17:28:56,78.393,1.5
998,17:28:58,78.393,3.0
999,17:28:59,77.419,2.5
1001,17:29:01,78.393,2.0
1002,17:29:02,76.932,8.6
1004,17:29:04,79.367,2.0
1005,17:29:05,77.906,1.5
1007,17:29:07,79.367,1.0
1008,17:29:08,77.906,4.0
1010,17:29:10,77.906,2.5
1011,17:29:11,78.88,2.5
1013,17:29:13,77.906,2.5
1014,17:29:14,77.906,2.5
1016,17:29:16,77.419,1.5
1017,17:29:17,77.419,9.0
1019,17:29:19,77.906,1.5
1020,17:29:20,77.906,1.0
1022,17:29:22,78.88,1.5
1023,17:29:23,78.88,4.5
1025,17:29:25,77.906,2.0
1026,17:29:26,77.906,3.0
1028,17:29:28,77.906,2.0
1030,17:29:30,78.393,2.0
1031,17:29:31,78.393,0.0
1033,17:29:33,77.906,5.0
1034,17:29:34,78.393,2.5
1036,17:29:36,77.906,2.5
1037,17:29:37,77.906,3.0
1039,17:29:39,77.419,3.5
1040,17:29:40,77.906,1.5
1042,17:29:42,78.393,2.0
