Time (s),Paris time (H:M:S),CPU Temperature (°C),CPU Usage (%),"CPU Temperature lissée (°C), taille filtre = 61"
0,17:12:20,80.341,61.8,40.7
2,17:12:22,80.828,40.9,42.0
3,17:12:23,78.393,1.0,43.3
9,17:12:29,78.393,28.2,44.5
11,17:12:31,77.419,1.5,45.8
12,17:12:32,78.393,91.5,47.1
14,17:12:34,80.341,59.6,48.4
15,17:12:35,81.315,75.3,49.7
17,17:12:37,81.802,96.5,50.9
19,17:12:39,82.776,92.3,52.2
20,17:12:40,83.263,99.0,53.5
24,17:12:44,82.776,80.5,54.7
25,17:12:45,82.776,43.1,56.0
27,17:12:47,83.263,37.6,57.3
28,17:12:48,82.776,33.2,58.6
30,17:12:50,83.263,5.5,59.9
31,17:12:51,80.341,2.5,61.1
33,17:12:53,79.854,1.5,62.4
34,17:12:54,78.88,3.5,63.7
36,17:12:56,78.393,10.1,64.9
37,17:12:57,79.367,43.7,66.2
39,17:12:59,81.315,1.0,67.5
40,17:13:00,79.367,1.5,68.7
42,17:13:02,79.367,3.5,70.0
43,17:13:03,78.88,2.5,71.2
52,17:13:12,78.393,3.0,72.5
53,17:13:13,76.932,17.7,73.8
55,17:13:15,78.393,2.0,75.0
56,17:13:16,78.88,1.5,76.3
59,17:13:19,77.906,3.5,77.6
61,17:13:21,78.88,2.5,78.8
62,17:13:22,77.419,4.0,78.8
64,17:13:24,77.906,2.0,78.8
65,17:13:25,78.393,1.5,78.8
67,17:13:27,78.393,1.5,78.7
68,17:13:28,77.906,2.0,78.8
70,17:13:30,77.906,3.0,78.8
71,17:13:31,77.906,3.5,78.7
73,17:13:33,77.906,6.5,78.7
74,17:13:34,77.419,2.5,78.6
76,17:13:36,77.419,1.5,78.5
77,17:13:37,77.906,3.5,78.4
79,17:13:39,77.906,4.0,78.3
80,17:13:40,77.419,2.5,78.2
82,17:13:42,77.419,2.0,78.1
83,17:13:43,78.88,1.0,78.0
85,17:13:45,76.932,2.5,77.9
86,17:13:46,77.906,1.0,77.9
88,17:13:48,77.906,3.5,77.8
89,17:13:49,77.419,2.0,77.8
91,17:13:51,77.419,1.5,77.8
