Tau FTBO,Tau FTBF,ki,kp,kd,dt,Nb de points de lecture Temp.
230,300,0.00333333,46,0,5000,10
Consigne CPU Temp,Température CPU,Heure,CPU Usage (%),CPU Frequency (MHz),Erreur,Correction proportionnelle,P_range,Correction intégrale,PWM signal,PWM signal clipped
75,73.0847,13:37:56,54.7368,1800,-1.9153,-114.535,1.3,-31.9216,-26,0
75,80.588,13:38:1,54.7368,1800,5.58797,334.161,1.3,61.2113,515,255
75,81.5818,13:38:6,54.7368,1800,6.5818,393.592,1.3,170.908,684,255
85,81.7299,13:38:11,100,1800,-3.27012,-255.723,1.7,116.406,-19,0
85,81.5012,13:38:16,100,1800,-3.4988,-273.606,1.7,58.0926,-95,0
85,80.7965,13:38:21,100,1800,-4.20348,-328.712,1.7,-11.9653,-220,0
85,81.0183,13:38:27,100,1800,-3.98174,-311.372,1.7,-78.3277,-269,0
85,81.1865,13:38:32,100,1800,-3.81347,-298.213,1.7,-141.885,-320,0
85,80.5703,13:38:37,100,1800,-4.42974,-346.406,1.7,-215.715,-442,0
70,77.6353,13:38:42,35,1800,7.63533,351.225,1,-88.459,382,255
70,76.5626,13:38:47,35,700,6.56264,301.881,1,20.9183,442,255
70,73.923,13:38:52,35,1800,3.92297,180.456,1,86.301,386,255
60,73.3181,13:38:58,1.50754,1800,13.3181,796.422,1.3,308.269,1224,255
60,71.8453,13:39:3,1.50754,1800,11.8453,708.35,1.3,505.691,1334,255
60,70.6753,13:39:8,1.50754,700,10.6753,638.385,1.3,683.614,1441,255
60,68.4155,13:39:13,2.01005,700,8.41554,503.249,1.3,823.873,1447,255
60,67.9948,13:39:18,2.01005,1800,7.99476,478.087,1.3,957.119,1555,255
60,66.93,13:39:23,2.01005,1800,6.92998,414.413,1.3,1072.62,1607,255
60,66.1417,13:39:29,1.00503,700,6.1417,367.274,1.3,1174.98,1662,255
60,64.9915,13:39:34,1.00503,1800,4.99147,298.49,1.3,1258.17,1676,255
60,65.6557,13:39:39,1.00503,1800,5.65565,338.208,1.3,1352.43,1810,255
70,65.3325,13:39:44,38.6667,1800,-4.66753,-214.706,1,1274.64,1179,255
70,63.7905,13:39:49,38.6667,700,-6.20955,-285.639,1,1171.15,1005,255
70,62.7597,13:39:54,38.6667,1800,-7.24035,-333.056,1,1050.47,837,255
60,61.8287,13:40:0,1.99005,700,1.82867,109.354,1.3,1080.95,1310,255
60,60.9564,13:40:5,1.99005,1800,0.956371,57.191,1.3,1096.89,1274,255
60,60.5769,13:40:10,1.99005,1800,0.576942,34.5012,1.3,1106.51,1261,255
60,60.3442,13:40:15,2.48756,700,0.3442,20.5832,1.3,1112.24,1252,255
60,59.3469,13:40:20,2.48756,1800,-0.653076,-39.054,1.3,1101.36,1182,255
60,59.5394,13:40:25,2.48756,700,-0.460613,-27.5447,1.3,1093.68,1186,255
60,58.8768,13:40:31,1.01523,1800,-1.12316,-67.165,1.3,1074.96,1127,255
60,58.8106,13:40:36,1.01523,1800,-1.18942,-71.1275,1.3,1055.14,1104,255
60,57.8787,13:40:41,1.01523,700,-2.12135,-126.856,1.3,1019.78,1012,255
60,57.5907,13:40:46,2.0202,1800,-2.40934,-144.079,1.3,979.629,955,255
60,56.8314,13:40:51,2.0202,700,-3.16864,-189.485,1.3,926.818,857,255
60,56.0249,13:40:56,2.0202,700,-3.97506,-237.709,1.3,860.567,742,255
60,56.1878,13:41:2,3.0303,1800,-3.81221,-227.97,1.3,797.03,689,255
60,55.9119,13:41:7,3.0303,700,-4.08812,-244.47,1.3,728.895,604,255
60,55.7382,13:41:12,3.0303,1800,-4.26181,-254.856,1.3,657.865,523,255
60,54.9903,13:41:17,2.55102,700,-5.00968,-299.579,1.3,574.37,394,255
60,54.185,13:41:22,2.55102,1800,-5.81496,-347.735,1.3,477.454,249,249
60,54.835,13:41:27,2.55102,700,-5.165,-308.867,1.3,391.371,202,202
60,54.4617,13:41:33,1.50754,1800,-5.5383,-331.19,1.3,299.066,87,0
60,55.0575,13:41:38,1.50754,700,-4.94253,-295.563,1.3,216.69,41,0
60,54.9222,13:41:43,1.50754,700,-5.07775,-303.65,1.3,132.061,-51,0
60,54.9574,13:41:48,1.5625,1800,-5.04257,-301.546,1.3,48.0182,-133,0
60,55.9836,13:41:53,1.5625,700,-4.01636,-240.178,1.3,-18.9211,-139,0
60,56.3298,13:41:58,1.5625,1800,-3.67024,-219.48,1.3,-80.0918,-179,0
60,56.754,13:42:4,1.00503,700,-3.24603,-194.112,1.3,-134.192,-208,0
60,56.3581,13:42:9,1.00503,700,-3.64191,-217.786,1.3,-194.891,-292,0
60,57.049,13:42:14,1.00503,1800,-2.951,-176.47,1.3,-244.074,-300,0
60,57.7025,13:42:19,1.5,700,-2.2975,-137.391,1.3,-282.366,-299,0
60,58.2061,13:42:24,1.5,700,-1.79385,-107.272,1.3,-312.263,-299,0
60,57.9643,13:42:29,1.5,1800,-2.03569,-121.734,1.3,-346.191,-347,0
60,58.7193,13:42:35,0.50505,700,-1.28067,-76.5841,1.3,-367.536,-324,0
60,58.6,13:42:40,0.50505,1800,-1.39997,-83.7183,1.3,-390.869,-354,0
60,59.0264,13:42:45,0.50505,700,-0.973602,-58.2214,1.3,-407.095,-345,0
60,59.2151,13:42:50,1.51515,700,-0.784863,-46.9348,1.3,-420.176,-347,0
60,59.234,13:42:55,1.51515,1800,-0.765984,-45.8058,1.3,-432.943,-358,0
60,59.9177,13:43:0,1.51515,700,-0.0822983,-4.92144,1.3,-434.314,-319,0
60,60.814,13:43:6,3.5533,1800,0.813976,48.6758,1.3,-420.748,-252,0
60,61.1471,13:43:11,3.5533,1800,1.1471,68.5967,1.3,-401.63,-213,0
60,60.7421,13:43:16,3.5533,700,0.742115,44.3785,1.3,-389.261,-224,0
60,60.5068,13:43:21,2.01005,1800,0.506817,30.3076,1.3,-380.814,-230,0
60,61.3599,13:43:26,2.01005,700,1.35989,81.3212,1.3,-358.149,-156,0
60,61.8348,13:43:31,2.01005,1800,1.83479,109.72,1.3,-327.57,-97,0
60,61.5414,13:43:37,1.00503,700,1.54138,92.1746,1.3,-301.88,-89,0
60,62.1938,13:43:42,1.00503,1800,2.19384,131.192,1.3,-265.316,-14,0
60,62.2591,13:43:47,1.00503,700,2.25909,135.093,1.3,-227.664,27,0
60,61.8273,13:43:52,2.0202,700,1.82731,109.273,1.3,-197.209,32,0
60,62.5146,13:43:57,2.0202,1800,2.51464,150.375,1.3,-155.299,115,0
60,63.46,13:44:2,2.0202,1800,3.45997,206.906,1.3,-97.6325,229,229
60,63.7006,13:44:8,1.50754,1800,3.7006,221.296,1.3,-35.9558,305,255
60,62.9942,13:44:13,1.50754,700,2.99416,179.051,1.3,13.9469,312,255
60,62.0956,13:44:18,1.50754,1800,2.09562,125.318,1.3,48.8739,294,255
60,61.2753,13:44:23,1.00503,700,1.27527,76.2611,1.3,70.1284,266,255
60,60.3653,13:44:28,1.00503,700,0.365334,21.8469,1.3,76.2173,218,218
60,60.2256,13:44:33,1.00503,1800,0.225639,13.4932,1.3,79.978,213,213
60,59.6273,13:44:39,1.0101,700,-0.37273,-22.2893,1.3,73.7658,171,171
60,59.6648,13:44:44,1.0101,1800,-0.335167,-20.043,1.3,68.1797,168,168
60,59.2303,13:44:49,1.0101,700,-0.769722,-46.0294,1.3,55.351,129,129
60,59.3816,13:44:54,10.8808,600,-0.61837,-36.9785,1.3,45.0448,128,128
60,58.7637,13:44:59,10.8808,1800,-1.23634,-73.9331,1.3,24.4391,70,0
60,59.5298,13:45:4,10.8808,700,-0.470234,-28.12,1.3,16.6019,108,0
60,59.4603,13:45:10,2.52525,1800,-0.539722,-32.2754,1.3,7.60654,95,0
60,60.3299,13:45:15,2.52525,1800,0.329933,19.73,1.3,13.1054,152,152
60,60.9526,13:45:20,2.52525,700,0.952599,56.9654,1.3,28.9821,205,205
60,59.7974,13:45:25,2.57732,1800,-0.202637,-12.1177,1.3,25.6048,133,133
60,60.0227,13:45:30,2.57732,700,0.0227432,1.36004,1.3,25.9838,147,147
60,59.7044,13:45:35,2.57732,1800,-0.295616,-17.6778,1.3,21.0569,123,123
60,59.8673,13:45:41,1.5,700,-0.13266,-7.93306,1.3,18.8459,130,130
60,59.0557,13:45:46,1.5,700,-0.944267,-56.4672,1.3,3.10812,66,0
60,58.9259,13:45:51,1.5,1800,-1.07413,-64.2328,1.3,-14.794,40,0
60,60.2765,13:45:56,1.00503,700,0.276489,16.5341,1.3,-10.1858,126,126
60,59.8759,13:46:1,1.00503,1800,-0.124146,-7.4239,1.3,-12.2549,100,0
60,60.0793,13:46:6,1.00503,700,0.0792923,4.74168,1.3,-10.9334,113,0
60,60.197,13:46:12,1.53061,700,0.197033,11.7826,1.3,-7.64952,124,124
60,60.3549,13:46:17,1.53061,1800,0.354908,21.2235,1.3,-1.73439,139,139
60,61.0038,13:46:22,1.53061,1800,1.0038,60.027,1.3,14.9955,195,195
60,60.6791,13:46:27,1.11732,700,0.679085,40.6093,1.3,26.3136,186,186
60,60.2083,13:46:32,1.11732,1800,0.208313,12.4571,1.3,29.7855,162,162
60,60.356,13:46:37,1.11732,700,0.35603,21.2906,1.3,35.7193,177,177
60,59.1533,13:46:43,1.01523,700,-0.846699,-50.6326,1.3,21.6077,90,0
60,59.4226,13:46:48,1.01523,1800,-0.57737,-34.5267,1.3,11.9849,97,0
60,60.4236,13:46:53,1.01523,1800,0.423565,25.3292,1.3,19.0443,164,164
60,60.962,13:46:58,5.72917,1000,0.961964,57.5254,1.3,35.077,212,212
60,60.6749,13:47:3,5.72917,1800,0.674904,40.3593,1.3,46.3254,206,206
60,60.3053,13:47:8,5.72917,900,0.305298,18.2568,1.3,51.4137,189,189
60,60.1222,13:47:14,10.7527,1800,0.122234,7.30961,1.3,53.4509,180,180
60,59.7143,13:47:19,10.7527,700,-0.285675,-17.0834,1.3,48.6897,151,151
60,59.9657,13:47:24,10.7527,1800,-0.0342636,-2.04896,1.3,48.1186,166,166
60,59.9909,13:47:29,11.6402,1800,-0.00911713,-0.545204,1.3,47.9667,167,167
60,60.0421,13:47:34,11.6402,800,0.0420952,2.51729,1.3,48.6683,171,171
60,59.9011,13:47:39,11.6402,1800,-0.0988884,-5.91353,1.3,47.0201,161,161
60,59.8383,13:47:45,6.21762,1000,-0.161682,-9.66859,1.3,44.3254,154,154
60,59.4911,13:47:50,6.21762,1800,-0.508869,-30.4304,1.3,35.8443,125,125
60,60.0408,13:47:55,6.21762,1000,0.0408211,2.4411,1.3,36.5246,158,158
60,59.9984,13:48:0,10.6952,800,-0.0016098,-0.0962662,1.3,36.4978,156,156
60,59.4097,13:48:5,10.6952,1800,-0.59026,-35.2975,1.3,26.6601,111,0
60,59.8379,13:48:10,10.6952,1800,-0.162121,-9.69483,1.3,23.9581,134,134
60,60.7573,13:48:16,8.20513,1800,0.757294,45.2862,1.3,36.5797,201,201
60,60.07,13:48:21,8.20513,1100,0.0700302,4.18781,1.3,37.7468,161,161
60,59.6117,13:48:26,8.20513,1800,-0.388294,-23.22,1.3,31.2753,128,128
60,60.3938,13:48:31,10.2041,900,0.393776,23.5478,1.3,37.8382,181,181
60,59.7902,13:48:36,10.2041,1800,-0.209816,-12.547,1.3,34.3413,141,141
60,59.8759,13:48:41,10.2041,900,-0.124084,-7.42025,1.3,32.2732,144,144
60,59.5436,13:48:47,15.0259,1800,-0.456409,-27.2933,1.3,24.6664,117,0
60,59.9487,13:48:52,15.0259,1000,-0.0513382,-3.07002,1.3,23.8107,140,140
60,59.5509,13:48:57,15.0259,1100,-0.449127,-26.8578,1.3,16.3253,109,0
60,60.2903,13:49:2,11.2299,1800,0.290291,17.3594,1.3,21.1635,158,158
60,61.1434,13:49:7,11.2299,1800,1.14343,68.3773,1.3,40.2207,228,228
60,61.3748,13:49:12,11.2299,1100,1.37485,82.2159,1.3,63.1348,265,255
60,60.911,13:49:18,11.7021,1800,0.910988,54.4771,1.3,78.3179,252,252
60,60.6211,13:49:23,11.7021,1800,0.621105,37.1421,1.3,88.6697,245,245
60,59.6668,13:49:28,11.7021,1200,-0.333183,-19.9244,1.3,83.1166,183,183
60,59.3766,13:49:33,13.9896,1800,-0.623413,-37.2801,1.3,72.7264,155,155
60,59.2015,13:49:38,13.9896,800,-0.798546,-47.753,1.3,59.4173,131,131
